,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.0,0.0,3.600000000000006e-05,0.0006249999999999956,0.0005289999999999958,0.000576000000000001,0.0005290000000000009,0.0005760000000000063,0.0005760000000000063,0.0005760000000000063,0.0005760000000000063,0.00010000000000000018,0.00048400000000000087,3.600000000000006e-05,3.600000000000006e-05,3.600000000000006e-05,2.5000000000001153e-05,1.600000000000003e-05,1.600000000000003e-05,4.0000000000000074e-06,4.0000000000000074e-06,0.0,1.600000000000003e-05,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,1.0000000000002238e-06,0.0,9.999999999997797e-07,9.999999999997797e-07,1.0000000000002238e-06,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0000000000002238e-06,0.003024999999999993,0.0010889999999999947,0.0010889999999999947,0.00014400000000000025,0.00014400000000000025,8.100000000000014e-05,0.00019600000000000035,1.232595164407831e-32,1.232595164407831e-32,2.4999999999998934e-05,2.4999999999998934e-05,4.0000000000000074e-06,4.0000000000000074e-06,0.00016900000000000319,1.0000000000002238e-06,1.0000000000002238e-06,4.0000000000000074e-06,0.0,0.0,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,2.4999999999998934e-05,1.600000000000003e-05,1.0000000000002238e-06,0.0,1.0000000000002238e-06,1.0000000000002238e-06,0.0,0.0,0.0,0.0,1.0000000000002238e-06,0.0,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.0,1.0000000000002238e-06,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0
12,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.00022500000000000373,4.8999999999998535e-05,0.0004000000000000007,0.0019359999999999937,4.0000000000000074e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.600000000000003e-05,1.0000000000000019e-06,1.600000000000003e-05,0.0008410000000000015,0.00010000000000000018,0.00010000000000000018,3.600000000000006e-05,1.600000000000003e-05,0.00014400000000000025,0.00019600000000000035,4.000000000000451e-06,0.00014400000000000025,0.00010000000000000018,0.0002560000000000005,8.099999999999815e-05,8.099999999999815e-05,8.099999999999815e-05,4.0000000000000074e-06,4.0000000000000074e-06,9.999999999997797e-07,0.00010000000000000018,0.00010000000000000018,0.00012100000000000022,1.600000000000003e-05,9.999999999997797e-07,3.600000000000006e-05,9.000000000000015e-06,1.0000000000000019e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,0.0,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0
13,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,4.9000000000000087e-05,4.9000000000000087e-05,4.9000000000000087e-05,0.0004410000000000008,0.0002560000000000005,6.400000000000012e-05,6.400000000000012e-05,6.400000000000012e-05,9.999999999997797e-07,1.600000000000003e-05,9.000000000000683e-06,9.000000000000683e-06,0.0,9.000000000000683e-06,1.0000000000002238e-06,1.0000000000002238e-06,8.99999999999935e-06,4.0000000000000074e-06,0.0,0.0,3.600000000000006e-05,9.000000000000015e-06,4.0000000000000074e-06,9.000000000000683e-06,1.600000000000003e-05,1.600000000000003e-05,9.000000000000015e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,9.999999999997797e-07,4.0000000000000074e-06,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,1.0000000000000019e-06,1.0000000000000019e-06,0.0,1.0000000000000019e-06,1.0000000000000019e-06,4.0000000000000074e-06,4.0000000000000074e-06
14,0.0,0.0,0.0,0.0,3.600000000000006e-05,3.600000000000006e-05,3.600000000000006e-05,8.99999999999935e-06,8.99999999999935e-06,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,0.00012099999999999778,1.0000000000002238e-06,1.0000000000002238e-06,4.0000000000000074e-06,1.0000000000000019e-06,4.0000000000000074e-06,9.000000000000015e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,1.600000000000003e-05,1.0000000000002238e-06,2.4999999999998934e-05,1.0000000000002238e-06,1.0000000000002238e-06,9.000000000000683e-06,9.000000000000683e-06,1.232595164407831e-32,1.232595164407831e-32,1.0000000000002238e-06,0.0,0.0,0.0,0.0,9.999999999997797e-07,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32
15,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,1.0000000000002238e-06,1.0000000000002238e-06,9.000000000000015e-06,0.00019600000000000035,3.60000000000014e-05,3.60000000000014e-05,6.40000000000019e-05,1.600000000000003e-05,0.00014400000000000025,4.000000000000451e-06,4.000000000000451e-06,4.000000000000451e-06,4.000000000000451e-06,0.00010000000000000018,8.100000000000014e-05,1.6000000000000917e-05,9.999999999997797e-07,1.0000000000002238e-06,0.0,0.0,1.0000000000002238e-06,4.0000000000000074e-06,9.000000000000683e-06,9.999999999997797e-07,4.0000000000000074e-06,1.600000000000003e-05,1.600000000000003e-05,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,2.5000000000001153e-05,4.0000000000000074e-06,4.0000000000000074e-06,1.600000000000003e-05,0.0,0.0,1.0000000000000019e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,9.999999999997797e-07,9.999999999997797e-07,0.0002890000000000043,1.6000000000000917e-05,1.6000000000000917e-05,1.6000000000000917e-05,4.9000000000000087e-05,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,1.0000000000002238e-06,0.0,4.930380657631324e-32,9.999999999997797e-07,4.0000000000000074e-06,2.5000000000000045e-05,4.000000000000451e-06,4.000000000000451e-06,4.930380657631324e-32,2.5000000000000045e-05,8.99999999999935e-06,1.0000000000002238e-06,4.0000000000000074e-06,3.999999999999563e-06,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.00032400000000000056,0.00032400000000000056,0.00016900000000000319,0.000576000000000001,9.999999999997797e-07,0.0006760000000000013,0.0002560000000000005,0.00014400000000000025,6.400000000000012e-05,6.400000000000012e-05,0.00016900000000000319,0.00016900000000000319,8.099999999999815e-05,0.0,0.0,0.00014400000000000025,4.000000000000895e-06,1.600000000000003e-05,1.600000000000003e-05,2.5000000000000045e-05,9.000000000000015e-06,9.999999999997797e-07,9.999999999997797e-07,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,4.0000000000000074e-06,0.0,0.0,0.0,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,0.0,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.0,0.0,0.0,0.0,0.0
18,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,9.999999999997797e-07,0.000576000000000001,9.000000000000683e-06,9.000000000000683e-06,9.000000000000683e-06,3.600000000000273e-05,0.00012099999999999778,0.00012099999999999778,0.00012100000000000022,0.0005759999999999957,0.001024000000000002,0.0006249999999999956,1.0000000000000019e-06,1.0000000000000019e-06,0.00014400000000000025,0.00012099999999999778,4.900000000000164e-05,4.900000000000164e-05,1.600000000000003e-05,1.600000000000003e-05,0.00010000000000000018,1.600000000000003e-05,4.0000000000000074e-06,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,1.600000000000003e-05,4.0000000000000074e-06,4.0000000000000074e-06,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,1.0000000000002238e-06,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.0000000000002238e-06,1.232595164407831e-32,1.232595164407831e-32,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0
19,0.0,0.0,0.0,0.0,1.0000000000000019e-06,4.0000000000000074e-06,0.00019600000000000035,8.099999999999815e-05,8.099999999999815e-05,0.00016900000000000319,0.00014400000000000025,4.900000000000164e-05,4.900000000000164e-05,4.900000000000164e-05,2.5000000000001153e-05,2.5000000000001153e-05,1.6000000000000917e-05,4.000000000000451e-06,8.99999999999935e-06,8.99999999999935e-06,4.0000000000000074e-06,0.0001690000000000003,3.600000000000006e-05,9.000000000000683e-06,4.0000000000000074e-06,4.0000000000000074e-06,3.600000000000006e-05,3.600000000000006e-05,0.00014400000000000025,9.000000000000015e-06,9.000000000000015e-06,9.000000000000015e-06,2.4999999999998934e-05,1.600000000000003e-05,9.999999999997797e-07,0.0,0.0,0.0,0.0,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,1.0000000000000019e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,4.0000000000000074e-06,1.0000000000000019e-06,1.0000000000000019e-06,0.0,0.0
